kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N02904,0000,2011,1,T,10.415152,Riket,L
N02904,0000,2012,1,T,10.326554,Riket,L
N02904,0000,2013,1,T,10.301645,Riket,L
N02904,0000,2014,1,T,10.059436,Riket,L
N02904,0000,2015,1,T,9.604329,Riket,L
N02904,0000,2016,1,T,9.005608,Riket,L
N02904,0000,2017,1,T,9.159548,Riket,L
N02904,0000,2018,1,T,8.943479,Riket,L
N02904,0000,2019,1,T,9.067782,Riket,L
N02904,0014,2007,1,T,10.636644,Västra Götalandsregionen,L
N02904,0014,2008,1,T,10.976831,Västra Götalandsregionen,L
N02904,0014,2009,1,T,12.362715,Västra Götalandsregionen,L
N02904,0014,2010,1,T,12.058096,Västra Götalandsregionen,L
N02904,0014,2011,1,T,10.347831,Västra Götalandsregionen,L
N02904,0014,2012,1,T,10.309426,Västra Götalandsregionen,L
N02904,0014,2013,1,T,10.443154,Västra Götalandsregionen,L
N02904,0014,2014,1,T,10.385893,Västra Götalandsregionen,L
N02904,0014,2015,1,T,9.889742,Västra Götalandsregionen,L
N02904,0014,2016,1,T,9.189589,Västra Götalandsregionen,L
N02904,0014,2017,1,T,9.085456,Västra Götalandsregionen,L
N02904,0014,2018,1,T,8.649114,Västra Götalandsregionen,L
N02904,0014,2019,1,T,8.575597,Västra Götalandsregionen,L
N02904,1401,2007,1,T,4.600185,Härryda,K
N02904,1401,2008,1,T,5.071076,Härryda,K
N02904,1401,2009,1,T,5.261578,Härryda,K
N02904,1401,2010,1,T,5.461895,Härryda,K
N02904,1401,2011,1,T,4.158474,Härryda,K
N02904,1401,2012,1,T,3.574226,Härryda,K
N02904,1401,2013,1,T,3.888889,Härryda,K
N02904,1401,2014,1,T,3.599845,Härryda,K
N02904,1401,2015,1,T,3.254296,Härryda,K
N02904,1401,2016,1,T,2.950913,Härryda,K
N02904,1401,2017,1,T,3.489354,Härryda,K
N02904,1401,2018,1,T,3.25,Härryda,K
N02904,1401,2019,1,T,2.638376,Härryda,K
N02904,1402,2007,1,T,6.085944,Partille,K
N02904,1402,2008,1,T,5.961538,Partille,K
N02904,1402,2009,1,T,7.206633,Partille,K
N02904,1402,2010,1,T,6.317878,Partille,K
N02904,1402,2011,1,T,4.691899,Partille,K
N02904,1402,2012,1,T,4.72655,Partille,K
N02904,1402,2013,1,T,4.881595,Partille,K
N02904,1402,2014,1,T,4.528967,Partille,K
N02904,1402,2015,1,T,4.306905,Partille,K
N02904,1402,2016,1,T,4.258547,Partille,K
