kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N15819,0000,2015,1,T,NA,Riket,L
N15819,0000,2016,1,T,NA,Riket,L
N15819,0000,2017,1,T,NA,Riket,L
N15819,0000,2018,1,T,NA,Riket,L
N15819,0000,2019,1,T,NA,Riket,L
N15819,0000,2020,1,T,NA,Riket,L
N15819,1401,2012,1,T,0,Härryda,K
N15819,1401,2013,1,T,0,Härryda,K
N15819,1401,2014,1,T,1,Härryda,K
N15819,1401,2015,1,T,NA,Härryda,K
N15819,1401,2016,1,T,1.15207373,Härryda,K
N15819,1401,2017,1,T,4.15704388,Härryda,K
N15819,1401,2018,1,T,1.49892934,Härryda,K
N15819,1401,2019,1,T,1.21212121,Härryda,K
N15819,1401,2020,1,T,NA,Härryda,K
N15819,1402,2012,1,T,3,Partille,K
N15819,1402,2013,1,T,3,Partille,K
N15819,1402,2014,1,T,2,Partille,K
N15819,1402,2015,1,T,2.247191,Partille,K
N15819,1402,2016,1,T,3.51648352,Partille,K
N15819,1402,2017,1,T,4.46428571,Partille,K
N15819,1402,2018,1,T,5.2742616,Partille,K
N15819,1402,2019,1,T,4.5174538,Partille,K
N15819,1402,2020,1,T,NA,Partille,K
N15819,1407,2012,1,T,NA,Öckerö,K
N15819,1407,2013,1,T,NA,Öckerö,K
N15819,1407,2014,1,T,1,Öckerö,K
N15819,1407,2015,1,T,0,Öckerö,K
N15819,1407,2016,1,T,0,Öckerö,K
N15819,1407,2017,1,T,18.47826087,Öckerö,K
N15819,1407,2018,1,T,7.40740741,Öckerö,K
N15819,1407,2019,1,T,1.24223603,Öckerö,K
N15819,1407,2020,1,T,NA,Öckerö,K
N15819,1415,2012,1,T,1,Stenungsund,K
N15819,1415,2013,1,T,1,Stenungsund,K
N15819,1415,2014,1,T,0,Stenungsund,K
N15819,1415,2015,1,T,NA,Stenungsund,K
N15819,1415,2016,1,T,1.61812298,Stenungsund,K
N15819,1415,2017,1,T,10,Stenungsund,K
N15819,1415,2018,1,T,5.21472393,Stenungsund,K
N15819,1415,2019,1,T,3.73563218,Stenungsund,K
N15819,1415,2020,1,T,NA,Stenungsund,K
N15819,1419,2012,1,T,1,Tjörn,K
N15819,1419,2013,1,T,1,Tjörn,K
N15819,1419,2014,1,T,1,Tjörn,K
N15819,1419,2015,1,T,NA,Tjörn,K
N15819,1419,2016,1,T,2.66666667,Tjörn,K
N15819,1419,2017,1,T,8.44155844,Tjörn,K
N15819,1419,2018,1,T,8.17610063,Tjörn,K
N15819,1419,2019,1,T,4.90797546,Tjörn,K
N15819,1419,2020,1,T,2.05479452,Tjörn,K
N15819,1421,2012,1,T,3,Orust,K
N15819,1421,2013,1,T,3,Orust,K
N15819,1421,2014,1,T,2,Orust,K
N15819,1421,2015,1,T,7.894737,Orust,K
N15819,1421,2016,1,T,2.4691358,Orust,K
N15819,1421,2017,1,T,10.55900621,Orust,K
N15819,1421,2018,1,T,7.36196319,Orust,K
N15819,1421,2019,1,T,6.2992126,Orust,K
N15819,1421,2020,1,T,NA,Orust,K
N15819,1427,2012,1,T,1,Sotenäs,K
N15819,1427,2013,1,T,1,Sotenäs,K
N15819,1427,2014,1,T,NA,Sotenäs,K
N15819,1427,2015,1,T,NA,Sotenäs,K
N15819,1427,2016,1,T,2.22222222,Sotenäs,K
N15819,1427,2017,1,T,19.79166667,Sotenäs,K
N15819,1427,2018,1,T,6.57894737,Sotenäs,K
N15819,1427,2019,1,T,3.17460318,Sotenäs,K
N15819,1427,2020,1,T,2.53164557,Sotenäs,K
N15819,1430,2012,1,T,2,Munkedal,K
N15819,1430,2013,1,T,2,Munkedal,K
N15819,1430,2014,1,T,5,Munkedal,K
N15819,1430,2015,1,T,NA,Munkedal,K
N15819,1430,2016,1,T,2.77777778,Munkedal,K
N15819,1430,2017,1,T,15.65217391,Munkedal,K
N15819,1430,2018,1,T,10.71428571,Munkedal,K
N15819,1430,2019,1,T,11.50442478,Munkedal,K
N15819,1430,2020,1,T,8.47457627,Munkedal,K
N15819,1435,2012,1,T,3,Tanum,K
N15819,1435,2013,1,T,3,Tanum,K
N15819,1435,2014,1,T,2,Tanum,K
N15819,1435,2015,1,T,NA,Tanum,K
N15819,1435,2016,1,T,4.46428571,Tanum,K
N15819,1435,2017,1,T,12.29508197,Tanum,K
N15819,1435,2018,1,T,12.6984127,Tanum,K
N15819,1435,2019,1,T,4.16666667,Tanum,K
N15819,1435,2020,1,T,8.02919708,Tanum,K
N15819,1438,2012,1,T,NA,Dals-Ed,K
N15819,1438,2013,1,T,NA,Dals-Ed,K
N15819,1438,2014,1,T,9,Dals-Ed,K
N15819,1438,2015,1,T,NA,Dals-Ed,K
N15819,1438,2016,1,T,6.12244898,Dals-Ed,K
N15819,1438,2017,1,T,20,Dals-Ed,K
N15819,1438,2018,1,T,7.40740741,Dals-Ed,K
N15819,1438,2019,1,T,5.66037736,Dals-Ed,K
N15819,1438,2020,1,T,4.16666667,Dals-Ed,K
N15819,1439,2012,1,T,5,Färgelanda,K
N15819,1439,2013,1,T,5,Färgelanda,K
N15819,1439,2014,1,T,9,Färgelanda,K
N15819,1439,2015,1,T,NA,Färgelanda,K
N15819,1439,2016,1,T,2.85714286,Färgelanda,K
N15819,1439,2017,1,T,11.68831169,Färgelanda,K
N15819,1439,2018,1,T,10.60606061,Färgelanda,K
N15819,1439,2019,1,T,11.66666667,Färgelanda,K
N15819,1439,2020,1,T,5.47945206,Färgelanda,K
N15819,1440,2012,1,T,1,Ale,K
N15819,1440,2013,1,T,1,Ale,K
N15819,1440,2014,1,T,1,Ale,K
N15819,1440,2015,1,T,NA,Ale,K
N15819,1440,2016,1,T,4.27350427,Ale,K
N15819,1440,2017,1,T,6.31229236,Ale,K
N15819,1440,2018,1,T,5.14138818,Ale,K
N15819,1440,2019,1,T,2.88184438,Ale,K
N15819,1440,2020,1,T,NA,Ale,K
N15819,1441,2012,1,T,0,Lerum,K
N15819,1441,2013,1,T,0,Lerum,K
N15819,1441,2014,1,T,0,Lerum,K
N15819,1441,2015,1,T,NA,Lerum,K
N15819,1441,2016,1,T,1.70575693,Lerum,K
N15819,1441,2017,1,T,7.9928952,Lerum,K
N15819,1441,2018,1,T,2.83687943,Lerum,K
N15819,1441,2019,1,T,3.01318267,Lerum,K
N15819,1441,2020,1,T,NA,Lerum,K
N15819,1442,2012,1,T,2,Vårgårda,K
N15819,1442,2013,1,T,2,Vårgårda,K
N15819,1442,2014,1,T,2,Vårgårda,K
N15819,1442,2015,1,T,NA,Vårgårda,K
N15819,1442,2016,1,T,7.20720721,Vårgårda,K
N15819,1442,2017,1,T,17.46031746,Vårgårda,K
N15819,1442,2018,1,T,11.38211382,Vårgårda,K
N15819,1442,2019,1,T,6.48148148,Vårgårda,K
N15819,1442,2020,1,T,5.69105691,Vårgårda,K
N15819,1443,2012,1,T,3,Bollebygd,K
N15819,1443,2013,1,T,3,Bollebygd,K
N15819,1443,2014,1,T,7,Bollebygd,K
N15819,1443,2015,1,T,0,Bollebygd,K
N15819,1443,2016,1,T,2.35294118,Bollebygd,K
N15819,1443,2017,1,T,9.64912281,Bollebygd,K
N15819,1443,2018,1,T,4.80769231,Bollebygd,K
N15819,1443,2019,1,T,6.66666667,Bollebygd,K
N15819,1443,2020,1,T,5.04201681,Bollebygd,K
N15819,1444,2012,1,T,2,Grästorp,K
N15819,1444,2013,1,T,2,Grästorp,K
N15819,1444,2014,1,T,2,Grästorp,K
N15819,1444,2015,1,T,NA,Grästorp,K
N15819,1444,2016,1,T,7.40740741,Grästorp,K
N15819,1444,2017,1,T,8.33333333,Grästorp,K
N15819,1444,2018,1,T,17.85714286,Grästorp,K
N15819,1444,2019,1,T,0,Grästorp,K
N15819,1444,2020,1,T,0,Grästorp,K
N15819,1445,2012,1,T,2,Essunga,K
N15819,1445,2013,1,T,2,Essunga,K
N15819,1445,2014,1,T,3,Essunga,K
N15819,1445,2015,1,T,NA,Essunga,K
N15819,1445,2016,1,T,1.81818182,Essunga,K
N15819,1445,2017,1,T,10.16949153,Essunga,K
N15819,1445,2018,1,T,3.125,Essunga,K
N15819,1445,2019,1,T,5.79710145,Essunga,K
N15819,1445,2020,1,T,0,Essunga,K
N15819,1446,2012,1,T,NA,Karlsborg,K
N15819,1446,2013,1,T,NA,Karlsborg,K
N15819,1446,2014,1,T,NA,Karlsborg,K
N15819,1446,2015,1,T,0,Karlsborg,K
N15819,1446,2016,1,T,3.22580645,Karlsborg,K
N15819,1446,2017,1,T,9.61538462,Karlsborg,K
N15819,1446,2018,1,T,13.04347826,Karlsborg,K
N15819,1446,2019,1,T,3.03030303,Karlsborg,K
N15819,1446,2020,1,T,1.33333333,Karlsborg,K
