kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N15818,0000,2008,1,T,NA,Riket,L
N15818,0000,2009,1,T,18,Riket,L
N15818,0000,2010,1,T,18,Riket,L
N15818,0000,2011,1,T,19,Riket,L
N15818,0000,2012,1,T,19,Riket,L
N15818,0000,2013,1,T,20,Riket,L
N15818,0000,2014,1,T,21,Riket,L
N15818,0000,2015,1,T,23,Riket,L
N15818,0000,2016,1,T,24,Riket,L
N15818,0000,2017,1,T,25,Riket,L
N15818,0000,2018,1,T,25,Riket,L
N15818,0000,2019,1,T,26,Riket,L
N15818,0000,2020,1,T,26.11,Riket,L
N15818,1401,2009,1,T,9,Härryda,K
N15818,1401,2010,1,T,9,Härryda,K
N15818,1401,2011,1,T,9,Härryda,K
N15818,1401,2012,1,T,8,Härryda,K
N15818,1401,2013,1,T,8,Härryda,K
N15818,1401,2014,1,T,9,Härryda,K
N15818,1401,2015,1,T,8,Härryda,K
N15818,1401,2016,1,T,9,Härryda,K
N15818,1401,2017,1,T,9,Härryda,K
N15818,1401,2018,1,T,9,Härryda,K
N15818,1401,2019,1,T,10,Härryda,K
N15818,1401,2020,1,T,NA,Härryda,K
N15818,1402,2009,1,T,14,Partille,K
N15818,1402,2010,1,T,14,Partille,K
N15818,1402,2011,1,T,15,Partille,K
N15818,1402,2012,1,T,16,Partille,K
N15818,1402,2013,1,T,16,Partille,K
N15818,1402,2014,1,T,17,Partille,K
N15818,1402,2015,1,T,17,Partille,K
N15818,1402,2016,1,T,18,Partille,K
N15818,1402,2017,1,T,18,Partille,K
N15818,1402,2018,1,T,19,Partille,K
N15818,1402,2019,1,T,20,Partille,K
N15818,1402,2020,1,T,NA,Partille,K
N15818,1407,2009,1,T,2,Öckerö,K
N15818,1407,2010,1,T,2,Öckerö,K
N15818,1407,2011,1,T,3,Öckerö,K
N15818,1407,2012,1,T,3,Öckerö,K
N15818,1407,2013,1,T,3,Öckerö,K
N15818,1407,2014,1,T,3,Öckerö,K
N15818,1407,2015,1,T,4,Öckerö,K
N15818,1407,2016,1,T,9,Öckerö,K
N15818,1407,2017,1,T,8,Öckerö,K
N15818,1407,2018,1,T,8,Öckerö,K
N15818,1407,2019,1,T,8,Öckerö,K
N15818,1407,2020,1,T,NA,Öckerö,K
N15818,1415,2009,1,T,7,Stenungsund,K
N15818,1415,2010,1,T,7,Stenungsund,K
N15818,1415,2011,1,T,7,Stenungsund,K
N15818,1415,2012,1,T,7,Stenungsund,K
N15818,1415,2013,1,T,7,Stenungsund,K
N15818,1415,2014,1,T,8,Stenungsund,K
N15818,1415,2015,1,T,9,Stenungsund,K
N15818,1415,2016,1,T,11,Stenungsund,K
N15818,1415,2017,1,T,12,Stenungsund,K
N15818,1415,2018,1,T,12,Stenungsund,K
N15818,1415,2019,1,T,13,Stenungsund,K
N15818,1415,2020,1,T,NA,Stenungsund,K
N15818,1419,2009,1,T,6,Tjörn,K
N15818,1419,2010,1,T,6,Tjörn,K
N15818,1419,2011,1,T,6,Tjörn,K
N15818,1419,2012,1,T,6,Tjörn,K
N15818,1419,2013,1,T,7,Tjörn,K
N15818,1419,2014,1,T,7,Tjörn,K
N15818,1419,2015,1,T,10,Tjörn,K
N15818,1419,2016,1,T,11,Tjörn,K
N15818,1419,2017,1,T,11,Tjörn,K
N15818,1419,2018,1,T,12,Tjörn,K
N15818,1419,2019,1,T,12,Tjörn,K
