kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N11800,0000,2016,1,T,83.528445,Riket,L
N11800,0000,2017,1,T,83.597854,Riket,L
N11800,0000,2018,1,T,84.67222,Riket,L
N11800,0000,2019,1,T,85.308003,Riket,L
N11800,0000,2020,1,T,85.432413,Riket,L
N11800,1401,2000,1,T,62.147971,Härryda,K
N11800,1401,2001,1,T,58.55045,Härryda,K
N11800,1401,2002,1,T,68.631271,Härryda,K
N11800,1401,2003,1,T,71.524128,Härryda,K
N11800,1401,2004,1,T,73.169601,Härryda,K
N11800,1401,2005,1,T,74.193548,Härryda,K
N11800,1401,2006,1,T,75.230567,Härryda,K
N11800,1401,2007,1,T,76.038206,Härryda,K
N11800,1401,2008,1,T,76.932177,Härryda,K
N11800,1401,2009,1,T,77.756869,Härryda,K
N11800,1401,2010,1,T,80.073394,Härryda,K
N11800,1401,2011,1,T,81.156392,Härryda,K
N11800,1401,2012,1,T,83.638283,Härryda,K
N11800,1401,2013,1,T,83.636364,Härryda,K
N11800,1401,2014,1,T,84.363895,Härryda,K
N11800,1401,2015,1,T,83.674912,Härryda,K
N11800,1401,2016,1,T,81.747501,Härryda,K
N11800,1401,2017,1,T,81.541883,Härryda,K
N11800,1401,2018,1,T,85.1341,Härryda,K
N11800,1401,2019,1,T,86.177885,Härryda,K
N11800,1401,2020,1,T,85.767635,Härryda,K
N11800,1402,2000,1,T,68.564815,Partille,K
N11800,1402,2001,1,T,71.442308,Partille,K
N11800,1402,2002,1,T,78.483506,Partille,K
N11800,1402,2003,1,T,78.041543,Partille,K
N11800,1402,2004,1,T,77.766943,Partille,K
N11800,1402,2005,1,T,77.304965,Partille,K
N11800,1402,2006,1,T,80.466889,Partille,K
N11800,1402,2007,1,T,81.694757,Partille,K
N11800,1402,2008,1,T,82.883721,Partille,K
N11800,1402,2009,1,T,79.927007,Partille,K
N11800,1402,2010,1,T,79.41049,Partille,K
N11800,1402,2011,1,T,82.562855,Partille,K
N11800,1402,2012,1,T,85.204284,Partille,K
N11800,1402,2013,1,T,84.3762,Partille,K
N11800,1402,2014,1,T,84.005924,Partille,K
N11800,1402,2015,1,T,84.900712,Partille,K
N11800,1402,2016,1,T,84.317485,Partille,K
N11800,1402,2017,1,T,85.948835,Partille,K
N11800,1402,2018,1,T,85.153181,Partille,K
N11800,1402,2019,1,T,84.808612,Partille,K
N11800,1402,2020,1,T,84.352941,Partille,K
N11800,1407,2000,1,T,56.406685,Öckerö,K
N11800,1407,2001,1,T,60.228898,Öckerö,K
N11800,1407,2002,1,T,66.037736,Öckerö,K
N11800,1407,2003,1,T,70.670391,Öckerö,K
N11800,1407,2004,1,T,70.53206,Öckerö,K
N11800,1407,2005,1,T,66.032609,Öckerö,K
N11800,1407,2006,1,T,70.234987,Öckerö,K
N11800,1407,2007,1,T,74.319066,Öckerö,K
N11800,1407,2008,1,T,78.23219,Öckerö,K
N11800,1407,2009,1,T,76.159794,Öckerö,K
N11800,1407,2010,1,T,78.278146,Öckerö,K
N11800,1407,2011,1,T,79.72973,Öckerö,K
N11800,1407,2012,1,T,83.540802,Öckerö,K
N11800,1407,2013,1,T,83.357041,Öckerö,K
N11800,1407,2014,1,T,83.455344,Öckerö,K
N11800,1407,2015,1,T,83.083832,Öckerö,K
N11800,1407,2016,1,T,80.893683,Öckerö,K
N11800,1407,2017,1,T,83.486239,Öckerö,K
N11800,1407,2018,1,T,84.393939,Öckerö,K
N11800,1407,2019,1,T,86.92185,Öckerö,K
N11800,1407,2020,1,T,81.350482,Öckerö,K
N11800,1415,2000,1,T,52.782194,Stenungsund,K
