Region,Resultat,År,Barnfattigdomsindex
00,3,2019,35.4
00,3,2018,34.7
00,3,2017,33.8
00,3,2016,32.6
00,3,2015,31.3
00,3,2014,30.3
00,3,2013,29.3
00,3,2012,28.3
00,3,2011,27.5
00,3,2010,26.7
00,3,2009,25.9
00,3,2008,25.0
00,1,2019,23.1
00,1,2018,23.5
00,1,2017,25.9
00,1,2016,26.6
00,1,2015,27.4
00,1,2014,28.4
00,1,2013,29.3
00,1,2012,29.1
00,1,2011,29.8
00,1,2010,31.2
00,1,2009,31.9
00,1,2008,29.5
00,2,2019,3.2
00,2,2018,3.1
00,2,2017,3.4
00,2,2016,3.6
00,2,2015,4.1
00,2,2014,4.5
00,2,2013,4.9
00,2,2012,5.2
00,2,2011,5.5
00,2,2010,6.0
00,2,2009,6.3
00,2,2008,5.4
00,1+2,2019,10.2
00,1+2,2018,10.2
00,1+2,2017,11.0
00,1+2,2016,11.1
00,1+2,2015,11.4
00,1+2,2014,11.8
00,1+2,2013,12.0
00,1+2,2012,12.0
00,1+2,2011,12.1
00,1+2,2010,12.7
00,1+2,2009,12.9
00,1+2,2008,11.5
14,3,2019,35.5
14,3,2018,34.8
14,3,2017,33.8
14,3,2016,32.7
14,3,2015,31.4
14,3,2014,30.4
14,3,2013,29.4
14,3,2012,28.3
14,3,2011,27.4
14,3,2010,26.7
14,3,2009,26.0
14,3,2008,25.3
14,1,2019,21.7
14,1,2018,22.5
14,1,2017,25.1
14,1,2016,26.3
14,1,2015,27.8
14,1,2014,29.1
14,1,2013,29.5
14,1,2012,28.9
14,1,2011,29.5
14,1,2010,30.7
14,1,2009,31.2
14,1,2008,29.1
14,2,2019,2.9
14,2,2018,2.8
14,2,2017,3.1
14,2,2016,3.4
14,2,2015,3.9
14,2,2014,4.3
14,2,2013,4.7
14,2,2012,4.9
14,2,2011,5.1
14,2,2010,5.7
14,2,2009,5.9
14,2,2008,5.1
14,1+2,2019,9.5
14,1+2,2018,9.7
14,1+2,2017,10.5
14,1+2,2016,10.9
14,1+2,2015,11.4
14,1+2,2014,11.8
14,1+2,2013,12.0
14,1+2,2012,11.7
14,1+2,2011,11.8
14,1+2,2010,12.3
