kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N02902,0000,2007,1,K,15.642027,Riket,L
N02902,0000,2007,1,M,15.752605,Riket,L
N02902,0000,2007,1,T,15.698785,Riket,L
N02902,0000,2008,1,K,14.673323,Riket,L
N02902,0000,2008,1,M,14.793307,Riket,L
N02902,0000,2008,1,T,14.734936,Riket,L
N02902,0000,2009,1,K,18.404136,Riket,L
N02902,0000,2009,1,M,18.538351,Riket,L
N02902,0000,2009,1,T,18.473063,Riket,L
N02902,0000,2010,1,K,20.250396,Riket,L
N02902,0000,2010,1,M,20.462329,Riket,L
N02902,0000,2010,1,T,20.359284,Riket,L
N02902,0000,2011,1,K,19.022777,Riket,L
N02902,0000,2011,1,M,19.199389,Riket,L
N02902,0000,2011,1,T,19.113535,Riket,L
N02902,0000,2012,1,K,19.244587,Riket,L
N02902,0000,2012,1,M,19.353299,Riket,L
N02902,0000,2012,1,T,19.300469,Riket,L
N02902,0000,2013,1,K,20.009818,Riket,L
N02902,0000,2013,1,M,20.059484,Riket,L
N02902,0000,2013,1,T,20.035365,Riket,L
N02902,0000,2015,1,K,NA,Riket,L
N02902,0000,2015,1,M,NA,Riket,L
N02902,0000,2015,1,T,20.008752,Riket,L
N02902,0000,2016,1,K,18.344883,Riket,L
N02902,0000,2016,1,M,18.372797,Riket,L
N02902,0000,2016,1,T,18.35929,Riket,L
N02902,0000,2017,1,K,18.659576,Riket,L
N02902,0000,2017,1,M,18.632323,Riket,L
N02902,0000,2017,1,T,18.645488,Riket,L
N02902,0000,2018,1,K,18.461833,Riket,L
N02902,0000,2018,1,M,18.440396,Riket,L
N02902,0000,2018,1,T,18.45075,Riket,L
N02902,0000,2019,1,K,18.102709,Riket,L
N02902,0000,2019,1,M,18.1539,Riket,L
N02902,0000,2019,1,T,18.129116,Riket,L
N02902,1401,2007,1,K,8.801697,Härryda,K
N02902,1401,2007,1,M,8.296681,Härryda,K
N02902,1401,2007,1,T,8.541731,Härryda,K
N02902,1401,2008,1,K,7.757903,Härryda,K
N02902,1401,2008,1,M,7.337116,Härryda,K
N02902,1401,2008,1,T,7.541083,Härryda,K
N02902,1401,2009,1,K,10.994441,Härryda,K
N02902,1401,2009,1,M,9.766537,Härryda,K
N02902,1401,2009,1,T,10.363109,Härryda,K
N02902,1401,2010,1,K,11.38261,Härryda,K
N02902,1401,2010,1,M,11.257645,Härryda,K
N02902,1401,2010,1,T,11.31815,Härryda,K
N02902,1401,2011,1,K,9.391481,Härryda,K
N02902,1401,2011,1,M,9.061427,Härryda,K
N02902,1401,2011,1,T,9.221392,Härryda,K
N02902,1401,2012,1,K,9.189624,Härryda,K
N02902,1401,2012,1,M,9.066616,Härryda,K
N02902,1401,2012,1,T,9.126518,Härryda,K
N02902,1401,2013,1,K,9.586013,Härryda,K
N02902,1401,2013,1,M,9.424678,Härryda,K
N02902,1401,2013,1,T,9.502924,Härryda,K
N02902,1401,2014,1,K,9.742977,Härryda,K
N02902,1401,2014,1,M,9.324759,Härryda,K
N02902,1401,2014,1,T,9.52843,Härryda,K
N02902,1401,2015,1,K,8.349822,Härryda,K
N02902,1401,2015,1,M,8.745105,Härryda,K
N02902,1401,2015,1,T,8.553326,Härryda,K
N02902,1401,2016,1,K,7.253987,Härryda,K
N02902,1401,2016,1,M,7.494016,Härryda,K
