kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N15424,0000,1998,1,K,93.1,Riket,L
N15424,0000,1998,1,M,89.8,Riket,L
N15424,0000,1998,1,T,91.4,Riket,L
N15424,0000,1999,1,K,92.1,Riket,L
N15424,0000,1999,1,M,88.6,Riket,L
N15424,0000,1999,1,T,90.3,Riket,L
N15424,0000,2000,1,K,91.3,Riket,L
N15424,0000,2000,1,M,87.7,Riket,L
N15424,0000,2000,1,T,89.4,Riket,L
N15424,0000,2001,1,K,91,Riket,L
N15424,0000,2001,1,M,87.4,Riket,L
N15424,0000,2001,1,T,89.2,Riket,L
N15424,0000,2002,1,K,91,Riket,L
N15424,0000,2002,1,M,88,Riket,L
N15424,0000,2002,1,T,89.5,Riket,L
N15424,0000,2003,1,K,91,Riket,L
N15424,0000,2003,1,M,88.7,Riket,L
N15424,0000,2003,1,T,89.9,Riket,L
N15424,0000,2004,1,K,91.1,Riket,L
N15424,0000,2004,1,M,88.2,Riket,L
N15424,0000,2004,1,T,89.6,Riket,L
N15424,0000,2005,1,K,90.7,Riket,L
N15424,0000,2005,1,M,87.7,Riket,L
N15424,0000,2005,1,T,89.2,Riket,L
N15424,0000,2006,1,K,90.7,Riket,L
N15424,0000,2006,1,M,88.3,Riket,L
N15424,0000,2006,1,T,89.5,Riket,L
N15424,0000,2007,1,K,90.4,Riket,L
N15424,0000,2007,1,M,87.9,Riket,L
N15424,0000,2007,1,T,89.1,Riket,L
N15424,0000,2008,1,K,89.9,Riket,L
N15424,0000,2008,1,M,87.9,Riket,L
N15424,0000,2008,1,T,88.9,Riket,L
N15424,0000,2009,1,K,89.9,Riket,L
N15424,0000,2009,1,M,87.6,Riket,L
N15424,0000,2009,1,T,88.8,Riket,L
N15424,0000,2010,1,K,89.2,Riket,L
N15424,0000,2010,1,M,87.2,Riket,L
N15424,0000,2010,1,T,88.2,Riket,L
N15424,0000,2011,1,K,88.9,Riket,L
N15424,0000,2011,1,M,86.7,Riket,L
N15424,0000,2011,1,T,87.7,Riket,L
N15424,0000,2012,1,K,88.9,Riket,L
N15424,0000,2012,1,M,86.2,Riket,L
N15424,0000,2012,1,T,87.5,Riket,L
N15424,0000,2013,1,K,89,Riket,L
N15424,0000,2013,1,M,86.3,Riket,L
N15424,0000,2013,1,T,87.6,Riket,L
N15424,0000,2014,1,K,88.3,Riket,L
N15424,0000,2014,1,M,85.5,Riket,L
N15424,0000,2014,1,T,86.9,Riket,L
N15424,0000,2015,1,K,87.3,Riket,L
N15424,0000,2015,1,M,83.9,Riket,L
N15424,0000,2015,1,T,85.6,Riket,L
N15424,0000,2016,1,K,88.8,Riket,L
N15424,0000,2016,1,M,86,Riket,L
N15424,0000,2016,1,T,87.3,Riket,L
N15424,0000,2017,1,K,86.4,Riket,L
N15424,0000,2017,1,M,79.2,Riket,L
N15424,0000,2017,1,T,82.5,Riket,L
N15424,0000,2018,1,K,86.7,Riket,L
N15424,0000,2018,1,M,82.3,Riket,L
N15424,0000,2018,1,T,84.4,Riket,L
N15424,0000,2019,1,K,85.8,Riket,L
N15424,0000,2019,1,M,82.9,Riket,L
N15424,0000,2019,1,T,84.3,Riket,L
N15424,0000,2020,1,K,87,Riket,L
N15424,0000,2020,1,M,84.3,Riket,L
N15424,0000,2020,1,T,85.6,Riket,L
N15424,1401,1998,1,K,92,Härryda,K
N15424,1401,1998,1,M,94,Härryda,K
N15424,1401,1998,1,T,93.4,Härryda,K
N15424,1401,1999,1,K,93,Härryda,K
N15424,1401,1999,1,M,96,Härryda,K
N15424,1401,1999,1,T,94.8,Härryda,K
N15424,1401,2000,1,K,96,Härryda,K
N15424,1401,2000,1,M,91,Härryda,K
N15424,1401,2000,1,T,93.3,Härryda,K
N15424,1401,2001,1,K,96,Härryda,K
N15424,1401,2001,1,M,91,Härryda,K
N15424,1401,2001,1,T,93.6,Härryda,K
N15424,1401,2002,1,K,95,Härryda,K
N15424,1401,2002,1,M,93,Härryda,K
N15424,1401,2002,1,T,93.9,Härryda,K
N15424,1401,2003,1,K,94,Härryda,K
N15424,1401,2003,1,M,93,Härryda,K
N15424,1401,2003,1,T,93.4,Härryda,K
N15424,1401,2004,1,K,93,Härryda,K
N15424,1401,2004,1,M,90,Härryda,K
N15424,1401,2004,1,T,91.9,Härryda,K
N15424,1401,2005,1,K,95,Härryda,K
N15424,1401,2005,1,M,91,Härryda,K
N15424,1401,2005,1,T,92.9,Härryda,K
N15424,1401,2006,1,K,94,Härryda,K
N15424,1401,2006,1,M,95,Härryda,K
N15424,1401,2006,1,T,94.4,Härryda,K
N15424,1401,2007,1,K,96,Härryda,K
N15424,1401,2007,1,M,93,Härryda,K
N15424,1401,2007,1,T,94.4,Härryda,K
N15424,1401,2008,1,K,94,Härryda,K
N15424,1401,2008,1,M,96,Härryda,K
N15424,1401,2008,1,T,94.8,Härryda,K
N15424,1401,2009,1,K,95,Härryda,K
N15424,1401,2009,1,M,96,Härryda,K
N15424,1401,2009,1,T,95.7,Härryda,K
N15424,1401,2010,1,K,97,Härryda,K
N15424,1401,2010,1,M,96,Härryda,K
N15424,1401,2010,1,T,96.4,Härryda,K
N15424,1401,2011,1,K,94.6,Härryda,K
N15424,1401,2011,1,M,93.7,Härryda,K
N15424,1401,2011,1,T,94.2,Härryda,K
N15424,1401,2012,1,K,93.9,Härryda,K
N15424,1401,2012,1,M,92.6,Härryda,K
N15424,1401,2012,1,T,93.2,Härryda,K
N15424,1401,2013,1,K,96.6,Härryda,K
N15424,1401,2013,1,M,93.1,Härryda,K
N15424,1401,2013,1,T,94.9,Härryda,K
N15424,1401,2014,1,K,95.5,Härryda,K
N15424,1401,2014,1,M,95.6,Härryda,K
N15424,1401,2014,1,T,95.6,Härryda,K
N15424,1401,2015,1,K,93.2,Härryda,K
N15424,1401,2015,1,M,93,Härryda,K
N15424,1401,2015,1,T,93.1,Härryda,K
N15424,1401,2016,1,K,93.1,Härryda,K
N15424,1401,2016,1,M,92.2,Härryda,K
N15424,1401,2016,1,T,92.6,Härryda,K
N15424,1401,2017,1,K,91.6,Härryda,K
N15424,1401,2017,1,M,90.4,Härryda,K
N15424,1401,2017,1,T,91,Härryda,K
N15424,1401,2018,1,K,92.9,Härryda,K
N15424,1401,2018,1,M,93,Härryda,K
N15424,1401,2018,1,T,92.9,Härryda,K
N15424,1401,2019,1,K,92.1,Härryda,K
N15424,1401,2019,1,M,90.2,Härryda,K
N15424,1401,2019,1,T,91.1,Härryda,K
N15424,1402,1998,1,K,96,Partille,K
N15424,1402,1998,1,M,95,Partille,K
N15424,1402,1998,1,T,95.3,Partille,K
N15424,1402,1999,1,K,95,Partille,K
N15424,1402,1999,1,M,92,Partille,K
N15424,1402,1999,1,T,93.5,Partille,K
N15424,1402,2000,1,K,94,Partille,K
N15424,1402,2000,1,M,90,Partille,K
N15424,1402,2000,1,T,92.1,Partille,K
N15424,1402,2001,1,K,94,Partille,K
N15424,1402,2001,1,M,93,Partille,K
N15424,1402,2001,1,T,93.9,Partille,K
N15424,1402,2002,1,K,94,Partille,K
N15424,1402,2002,1,M,95,Partille,K
N15424,1402,2002,1,T,94.4,Partille,K
N15424,1402,2003,1,K,95,Partille,K
N15424,1402,2003,1,M,100,Partille,K
N15424,1402,2003,1,T,96.9,Partille,K
N15424,1402,2004,1,K,95,Partille,K
N15424,1402,2004,1,M,91,Partille,K
N15424,1402,2004,1,T,92.6,Partille,K
N15424,1402,2005,1,K,94,Partille,K
N15424,1402,2005,1,M,90,Partille,K
N15424,1402,2005,1,T,92.3,Partille,K
N15424,1402,2006,1,K,96,Partille,K
N15424,1402,2006,1,M,93,Partille,K
N15424,1402,2006,1,T,94.6,Partille,K
N15424,1402,2007,1,K,96,Partille,K
N15424,1402,2007,1,M,93,Partille,K
N15424,1402,2007,1,T,94.6,Partille,K
N15424,1402,2008,1,K,95,Partille,K
N15424,1402,2008,1,M,95,Partille,K
N15424,1402,2008,1,T,94.6,Partille,K
N15424,1402,2009,1,K,95,Partille,K
N15424,1402,2009,1,M,94,Partille,K
N15424,1402,2009,1,T,94.2,Partille,K
N15424,1402,2010,1,K,93,Partille,K
N15424,1402,2010,1,M,93,Partille,K
N15424,1402,2010,1,T,92.6,Partille,K
N15424,1402,2011,1,K,92.5,Partille,K
N15424,1402,2011,1,M,94.8,Partille,K
N15424,1402,2011,1,T,93.7,Partille,K
N15424,1402,2012,1,K,93.2,Partille,K
N15424,1402,2012,1,M,92.7,Partille,K
N15424,1402,2012,1,T,92.9,Partille,K
N15424,1402,2013,1,K,92.3,Partille,K
N15424,1402,2013,1,M,91.9,Partille,K
N15424,1402,2013,1,T,92.1,Partille,K
N15424,1402,2014,1,K,95.7,Partille,K
N15424,1402,2014,1,M,90.8,Partille,K
N15424,1402,2014,1,T,93.1,Partille,K
N15424,1402,2015,1,K,89.4,Partille,K
N15424,1402,2015,1,M,89.9,Partille,K
N15424,1402,2015,1,T,89.7,Partille,K
N15424,1402,2016,1,K,87.6,Partille,K
N15424,1402,2016,1,M,89.9,Partille,K
N15424,1402,2016,1,T,88.8,Partille,K
N15424,1402,2017,1,K,90.4,Partille,K
N15424,1402,2017,1,M,87.3,Partille,K
N15424,1402,2017,1,T,88.6,Partille,K
N15424,1402,2018,1,K,84.8,Partille,K
N15424,1402,2018,1,M,88,Partille,K
N15424,1402,2018,1,T,86.5,Partille,K
N15424,1402,2019,1,K,85,Partille,K
N15424,1402,2019,1,M,83.5,Partille,K
N15424,1402,2019,1,T,84.2,Partille,K
N15424,1407,1998,1,K,100,Öckerö,K
N15424,1407,1998,1,M,100,Öckerö,K
N15424,1407,1998,1,T,97.3,Öckerö,K
N15424,1407,1999,1,K,91,Öckerö,K
N15424,1407,1999,1,M,85,Öckerö,K
N15424,1407,1999,1,T,87.9,Öckerö,K
N15424,1407,2000,1,K,100,Öckerö,K
N15424,1407,2000,1,M,80,Öckerö,K
N15424,1407,2000,1,T,88.5,Öckerö,K
N15424,1407,2001,1,K,100,Öckerö,K
N15424,1407,2001,1,M,90,Öckerö,K
N15424,1407,2001,1,T,93.2,Öckerö,K
N15424,1407,2002,1,K,100,Öckerö,K
N15424,1407,2002,1,M,91,Öckerö,K
N15424,1407,2002,1,T,93.4,Öckerö,K
N15424,1407,2003,1,K,93,Öckerö,K
N15424,1407,2003,1,M,92,Öckerö,K
N15424,1407,2003,1,T,92.4,Öckerö,K
N15424,1407,2004,1,K,93,Öckerö,K
N15424,1407,2004,1,M,91,Öckerö,K
N15424,1407,2004,1,T,92,Öckerö,K
N15424,1407,2005,1,K,100,Öckerö,K
N15424,1407,2005,1,M,89,Öckerö,K
N15424,1407,2005,1,T,92.6,Öckerö,K
N15424,1407,2006,1,K,91,Öckerö,K
N15424,1407,2006,1,M,87,Öckerö,K
N15424,1407,2006,1,T,89.3,Öckerö,K
N15424,1407,2007,1,K,88,Öckerö,K
N15424,1407,2007,1,M,93,Öckerö,K
N15424,1407,2007,1,T,90.7,Öckerö,K
N15424,1407,2008,1,K,90,Öckerö,K
N15424,1407,2008,1,M,91,Öckerö,K
N15424,1407,2008,1,T,90.5,Öckerö,K
N15424,1407,2009,1,K,100,Öckerö,K
N15424,1407,2009,1,M,90,Öckerö,K
N15424,1407,2009,1,T,93.1,Öckerö,K
N15424,1407,2010,1,K,94,Öckerö,K
N15424,1407,2010,1,M,94,Öckerö,K
N15424,1407,2010,1,T,94.3,Öckerö,K
N15424,1407,2011,1,K,95,Öckerö,K
N15424,1407,2011,1,M,93.3,Öckerö,K
N15424,1407,2011,1,T,93.2,Öckerö,K
N15424,1407,2012,1,K,91.7,Öckerö,K
N15424,1407,2012,1,M,94,Öckerö,K
N15424,1407,2012,1,T,92.9,Öckerö,K
N15424,1407,2013,1,K,100,Öckerö,K
N15424,1407,2013,1,M,95,Öckerö,K
N15424,1407,2013,1,T,95,Öckerö,K
N15424,1407,2014,1,K,95,Öckerö,K
N15424,1407,2014,1,M,95,Öckerö,K
N15424,1407,2014,1,T,94.8,Öckerö,K
N15424,1407,2015,1,K,95,Öckerö,K
N15424,1407,2015,1,M,91.1,Öckerö,K
N15424,1407,2015,1,T,93.8,Öckerö,K
N15424,1407,2016,1,K,95,Öckerö,K
N15424,1407,2016,1,M,91.4,Öckerö,K
N15424,1407,2016,1,T,92.4,Öckerö,K
N15424,1407,2017,1,K,80.8,Öckerö,K
N15424,1407,2017,1,M,82,Öckerö,K
N15424,1407,2017,1,T,81.5,Öckerö,K
N15424,1407,2018,1,K,95,Öckerö,K
N15424,1407,2018,1,M,84.4,Öckerö,K
N15424,1407,2018,1,T,90.1,Öckerö,K
N15424,1407,2019,1,K,NA,Öckerö,K
N15424,1407,2019,1,M,90.5,Öckerö,K
N15424,1407,2019,1,T,95,Öckerö,K
N15424,1415,1998,1,K,100,Stenungsund,K
N15424,1415,1998,1,M,92,Stenungsund,K
N15424,1415,1998,1,T,95.3,Stenungsund,K
N15424,1415,1999,1,K,94,Stenungsund,K
N15424,1415,1999,1,M,92,Stenungsund,K
N15424,1415,1999,1,T,93.2,Stenungsund,K
N15424,1415,2000,1,K,95,Stenungsund,K
N15424,1415,2000,1,M,94,Stenungsund,K
N15424,1415,2000,1,T,94.6,Stenungsund,K
N15424,1415,2001,1,K,100,Stenungsund,K
N15424,1415,2001,1,M,92,Stenungsund,K
N15424,1415,2001,1,T,94.6,Stenungsund,K
N15424,1415,2002,1,K,90,Stenungsund,K
N15424,1415,2002,1,M,96,Stenungsund,K
N15424,1415,2002,1,T,93.2,Stenungsund,K
N15424,1415,2003,1,K,93,Stenungsund,K
N15424,1415,2003,1,M,93,Stenungsund,K
N15424,1415,2003,1,T,92.9,Stenungsund,K
N15424,1415,2004,1,K,94,Stenungsund,K
N15424,1415,2004,1,M,92,Stenungsund,K
N15424,1415,2004,1,T,92.6,Stenungsund,K
N15424,1415,2005,1,K,93,Stenungsund,K
N15424,1415,2005,1,M,93,Stenungsund,K
N15424,1415,2005,1,T,93.5,Stenungsund,K
N15424,1415,2006,1,K,93,Stenungsund,K
N15424,1415,2006,1,M,94,Stenungsund,K
N15424,1415,2006,1,T,93.5,Stenungsund,K
N15424,1415,2007,1,K,95,Stenungsund,K
N15424,1415,2007,1,M,96,Stenungsund,K
N15424,1415,2007,1,T,95.8,Stenungsund,K
N15424,1415,2008,1,K,96,Stenungsund,K
N15424,1415,2008,1,M,92,Stenungsund,K
N15424,1415,2008,1,T,94,Stenungsund,K
N15424,1415,2009,1,K,96,Stenungsund,K
N15424,1415,2009,1,M,97,Stenungsund,K
N15424,1415,2009,1,T,96.8,Stenungsund,K
N15424,1415,2010,1,K,96,Stenungsund,K
N15424,1415,2010,1,M,95,Stenungsund,K
N15424,1415,2010,1,T,95.4,Stenungsund,K
