kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N17464,0000,2015,1,K,73.33986,Riket,L
N17464,0000,2015,1,M,65.514693,Riket,L
N17464,0000,2015,1,T,69.294998,Riket,L
N17464,0000,2016,1,K,74.869797,Riket,L
N17464,0000,2016,1,M,67.01244,Riket,L
N17464,0000,2016,1,T,70.830757,Riket,L
N17464,0000,2017,1,K,74.40648,Riket,L
N17464,0000,2017,1,M,67.651108,Riket,L
N17464,0000,2017,1,T,70.912811,Riket,L
N17464,0000,2018,1,K,74.853449,Riket,L
N17464,0000,2018,1,M,68.339984,Riket,L
N17464,0000,2018,1,T,71.47401,Riket,L
N17464,0000,2019,1,K,74.50237,Riket,L
N17464,0000,2019,1,M,68.07482,Riket,L
N17464,0000,2019,1,T,71.173812,Riket,L
N17464,0000,2020,1,K,74.825119,Riket,L
N17464,0000,2020,1,M,68.16305,Riket,L
N17464,0000,2020,1,T,71.332532,Riket,L
N17464,1401,2015,1,K,86.394558,Härryda,K
N17464,1401,2015,1,M,78.846154,Härryda,K
N17464,1401,2015,1,T,82.851986,Härryda,K
N17464,1401,2016,1,K,80.968858,Härryda,K
N17464,1401,2016,1,M,77.508651,Härryda,K
N17464,1401,2016,1,T,79.238754,Härryda,K
N17464,1401,2017,1,K,79.044118,Härryda,K
N17464,1401,2017,1,M,77,Härryda,K
N17464,1401,2017,1,T,77.972028,Härryda,K
N17464,1401,2018,1,K,78.832117,Härryda,K
N17464,1401,2018,1,M,83.443709,Härryda,K
N17464,1401,2018,1,T,81.25,Härryda,K
N17464,1401,2019,1,K,84.169884,Härryda,K
N17464,1401,2019,1,M,80.655738,Härryda,K
N17464,1401,2019,1,T,82.269504,Härryda,K
N17464,1401,2020,1,K,85.530547,Härryda,K
N17464,1401,2020,1,M,80.511182,Härryda,K
N17464,1401,2020,1,T,83.012821,Härryda,K
N17464,1402,2015,1,K,58.441558,Partille,K
N17464,1402,2015,1,M,54.385965,Partille,K
N17464,1402,2015,1,T,56.020942,Partille,K
N17464,1402,2016,1,K,70.212766,Partille,K
N17464,1402,2016,1,M,65.789474,Partille,K
N17464,1402,2016,1,T,67.080745,Partille,K
N17464,1402,2017,1,K,51.219512,Partille,K
N17464,1402,2017,1,M,51.948052,Partille,K
N17464,1402,2017,1,T,51.694915,Partille,K
N17464,1402,2018,1,K,60.606061,Partille,K
N17464,1402,2018,1,M,43.661972,Partille,K
N17464,1402,2018,1,T,49.038462,Partille,K
N17464,1402,2019,1,K,46.153846,Partille,K
N17464,1402,2019,1,M,55.882353,Partille,K
N17464,1402,2019,1,T,53.191489,Partille,K
N17464,1402,2020,1,K,60.465116,Partille,K
N17464,1402,2020,1,M,52.631579,Partille,K
N17464,1402,2020,1,T,55.462185,Partille,K
N17464,1407,2015,1,K,80.769231,Öckerö,K
N17464,1407,2015,1,M,70,Öckerö,K
N17464,1407,2015,1,T,76.086957,Öckerö,K
N17464,1407,2016,1,K,92.727273,Öckerö,K
N17464,1407,2016,1,M,92.5,Öckerö,K
N17464,1407,2016,1,T,92.631579,Öckerö,K
N17464,1407,2017,1,K,100,Öckerö,K
N17464,1407,2017,1,M,82.857143,Öckerö,K
N17464,1407,2017,1,T,93.181818,Öckerö,K
N17464,1407,2018,1,K,93.939394,Öckerö,K
