kpi,municipality_id,year,count,gender,value,municipality,municipality_type
N02797,0000,2007,1,K,0,Riket,L
N02797,0000,2007,1,M,0,Riket,L
N02797,0000,2008,1,K,7.520696,Riket,L
N02797,0000,2008,1,M,7.119478,Riket,L
N02797,0000,2008,1,T,7.314866,Riket,L
N02797,0000,2009,1,K,8.40725,Riket,L
N02797,0000,2009,1,M,9.206748,Riket,L
N02797,0000,2009,1,T,8.817066,Riket,L
N02797,0000,2010,1,K,7.531747,Riket,L
N02797,0000,2010,1,M,7.753252,Riket,L
N02797,0000,2010,1,T,7.645266,Riket,L
N02797,0000,2011,1,K,7.152414,Riket,L
N02797,0000,2011,1,M,7.063915,Riket,L
N02797,0000,2011,1,T,7.107018,Riket,L
N02797,0000,2012,1,K,7.428061,Riket,L
N02797,0000,2012,1,M,7.60666,Riket,L
N02797,0000,2012,1,T,7.519719,Riket,L
N02797,0000,2013,1,K,7.388367,Riket,L
N02797,0000,2013,1,M,7.660505,Riket,L
N02797,0000,2013,1,T,7.528165,Riket,L
N02797,0000,2014,1,K,7.196267,Riket,L
N02797,0000,2014,1,M,7.714138,Riket,L
N02797,0000,2014,1,T,7.463128,Riket,L
N02797,0000,2015,1,K,7.326516,Riket,L
N02797,0000,2015,1,M,7.906838,Riket,L
N02797,0000,2015,1,T,7.62624,Riket,L
N02797,0000,2016,1,K,7.095994,Riket,L
N02797,0000,2016,1,M,7.969922,Riket,L
N02797,0000,2016,1,T,7.550012,Riket,L
N02797,0000,2017,1,K,6.583924,Riket,L
N02797,0000,2017,1,M,6.955959,Riket,L
N02797,0000,2017,1,T,6.778078,Riket,L
N02797,0000,2018,1,K,6.110447,Riket,L
N02797,0000,2018,1,M,6.912491,Riket,L
N02797,0000,2018,1,T,6.53046,Riket,L
N02797,0014,2007,1,K,7.003309,Västra Götalandsregionen,L
N02797,0014,2007,1,M,6.310191,Västra Götalandsregionen,L
N02797,0014,2008,1,K,7.146983,Västra Götalandsregionen,L
N02797,0014,2008,1,M,6.873651,Västra Götalandsregionen,L
N02797,0014,2008,1,T,7.006322,Västra Götalandsregionen,L
N02797,0014,2009,1,K,8.239045,Västra Götalandsregionen,L
N02797,0014,2009,1,M,9.179076,Västra Götalandsregionen,L
N02797,0014,2009,1,T,8.721772,Västra Götalandsregionen,L
N02797,0014,2010,1,K,7.424469,Västra Götalandsregionen,L
N02797,0014,2010,1,M,7.416345,Västra Götalandsregionen,L
N02797,0014,2010,1,T,7.420311,Västra Götalandsregionen,L
N02797,0014,2011,1,K,6.847669,Västra Götalandsregionen,L
N02797,0014,2011,1,M,6.715914,Västra Götalandsregionen,L
N02797,0014,2011,1,T,6.780316,Västra Götalandsregionen,L
N02797,0014,2012,1,K,7.272263,Västra Götalandsregionen,L
N02797,0014,2012,1,M,7.432769,Västra Götalandsregionen,L
N02797,0014,2012,1,T,7.354363,Västra Götalandsregionen,L
N02797,0014,2013,1,K,7.072588,Västra Götalandsregionen,L
N02797,0014,2013,1,M,7.462625,Västra Götalandsregionen,L
N02797,0014,2013,1,T,7.271731,Västra Götalandsregionen,L
N02797,0014,2014,1,K,6.884629,Västra Götalandsregionen,L
N02797,0014,2014,1,M,7.436393,Västra Götalandsregionen,L
N02797,0014,2014,1,T,7.167605,Västra Götalandsregionen,L
N02797,0014,2015,1,K,7.025341,Västra Götalandsregionen,L
N02797,0014,2015,1,M,7.689535,Västra Götalandsregionen,L
N02797,0014,2015,1,T,7.366906,Västra Götalandsregionen,L
N02797,0014,2016,1,K,6.70407,Västra Götalandsregionen,L
N02797,0014,2016,1,M,7.28973,Västra Götalandsregionen,L
N02797,0014,2016,1,T,7.006693,Västra Götalandsregionen,L
N02797,0014,2017,1,K,6.299995,Västra Götalandsregionen,L
N02797,0014,2017,1,M,6.385912,Västra Götalandsregionen,L
N02797,0014,2017,1,T,6.34455,Västra Götalandsregionen,L
N02797,0014,2018,1,K,5.811504,Västra Götalandsregionen,L
N02797,0014,2018,1,M,6.450056,Västra Götalandsregionen,L
N02797,0014,2018,1,T,6.143845,Västra Götalandsregionen,L
N02797,1401,2007,1,K,5.809642,Härryda,K
N02797,1401,2007,1,M,4.957356,Härryda,K
N02797,1401,2008,1,K,5.520046,Härryda,K
N02797,1401,2008,1,M,4.997501,Härryda,K
N02797,1401,2008,1,T,5.239119,Härryda,K
N02797,1401,2009,1,K,6.274078,Härryda,K
N02797,1401,2009,1,M,6.226054,Härryda,K
N02797,1401,2009,1,T,6.248399,Härryda,K
N02797,1401,2010,1,K,5.663346,Härryda,K
N02797,1401,2010,1,M,4.651163,Härryda,K
N02797,1401,2010,1,T,5.132038,Härryda,K
N02797,1401,2011,1,K,4.936975,Härryda,K
N02797,1401,2011,1,M,4.466859,Härryda,K
N02797,1401,2011,1,T,4.69142,Härryda,K
N02797,1401,2012,1,K,4.938272,Härryda,K
N02797,1401,2012,1,M,5.899281,Härryda,K
N02797,1401,2012,1,T,5.435592,Härryda,K
N02797,1401,2013,1,K,4.807184,Härryda,K
N02797,1401,2013,1,M,4.94371,Härryda,K
N02797,1401,2013,1,T,4.878049,Härryda,K
N02797,1401,2014,1,K,6.236443,Härryda,K
N02797,1401,2014,1,M,5.367793,Härryda,K
N02797,1401,2014,1,T,5.783195,Härryda,K
N02797,1401,2015,1,K,5.989011,Härryda,K
N02797,1401,2015,1,M,5.408163,Härryda,K
N02797,1401,2015,1,T,5.687831,Härryda,K
N02797,1401,2016,1,K,4.84222,Härryda,K
N02797,1401,2016,1,M,5.452675,Härryda,K
N02797,1401,2016,1,T,5.156002,Härryda,K
N02797,1401,2017,1,K,5.126728,Härryda,K
N02797,1401,2017,1,M,5.564304,Härryda,K
N02797,1401,2017,1,T,5.355672,Härryda,K
N02797,1401,2018,1,K,4.968226,Härryda,K
N02797,1401,2018,1,M,4.797441,Härryda,K
N02797,1401,2018,1,T,4.879401,Härryda,K
N02797,1402,2007,1,K,6.478579,Partille,K
N02797,1402,2007,1,M,5.812854,Partille,K
N02797,1402,2008,1,K,5.894309,Partille,K
N02797,1402,2008,1,M,6.049496,Partille,K
N02797,1402,2008,1,T,5.975904,Partille,K
N02797,1402,2009,1,K,6.419753,Partille,K
N02797,1402,2009,1,M,7.824176,Partille,K
N02797,1402,2009,1,T,7.162791,Partille,K
N02797,1402,2010,1,K,5.753291,Partille,K
N02797,1402,2010,1,M,6.433506,Partille,K
N02797,1402,2010,1,T,6.114037,Partille,K
N02797,1402,2011,1,K,4.997574,Partille,K
N02797,1402,2011,1,M,5.810928,Partille,K
N02797,1402,2011,1,T,5.427067,Partille,K
N02797,1402,2012,1,K,5.728155,Partille,K
N02797,1402,2012,1,M,7.155399,Partille,K
N02797,1402,2012,1,T,6.477639,Partille,K
N02797,1402,2013,1,K,4.776269,Partille,K
N02797,1402,2013,1,M,7.440213,Partille,K
N02797,1402,2013,1,T,6.192607,Partille,K
N02797,1402,2014,1,K,5.732152,Partille,K
N02797,1402,2014,1,M,7.505618,Partille,K
N02797,1402,2014,1,T,6.684363,Partille,K
N02797,1402,2015,1,K,6.057386,Partille,K
N02797,1402,2015,1,M,6.740028,Partille,K
N02797,1402,2015,1,T,6.423825,Partille,K
N02797,1402,2016,1,K,6.406834,Partille,K
N02797,1402,2016,1,M,5.871301,Partille,K
N02797,1402,2016,1,T,6.121939,Partille,K
N02797,1402,2017,1,K,5.589041,Partille,K
N02797,1402,2017,1,M,5.534167,Partille,K
N02797,1402,2017,1,T,5.559826,Partille,K
N02797,1402,2018,1,K,5.833792,Partille,K
N02797,1402,2018,1,M,6.06203,Partille,K
N02797,1402,2018,1,T,5.956907,Partille,K
N02797,1407,2007,1,K,4.404568,Öckerö,K
N02797,1407,2007,1,M,4.154728,Öckerö,K
N02797,1407,2008,1,K,4.582651,Öckerö,K
N02797,1407,2008,1,M,4.781997,Öckerö,K
N02797,1407,2008,1,T,4.689864,Öckerö,K
N02797,1407,2009,1,K,5.128205,Öckerö,K
N02797,1407,2009,1,M,7.073509,Öckerö,K
N02797,1407,2009,1,T,6.171004,Öckerö,K
N02797,1407,2010,1,K,4.48,Öckerö,K
N02797,1407,2010,1,M,6.725888,Öckerö,K
N02797,1407,2010,1,T,5.732484,Öckerö,K
N02797,1407,2011,1,K,4.690117,Öckerö,K
N02797,1407,2011,1,M,4.887218,Öckerö,K
N02797,1407,2011,1,T,4.802867,Öckerö,K
N02797,1407,2012,1,K,6.535948,Öckerö,K
N02797,1407,2012,1,M,6.675063,Öckerö,K
N02797,1407,2012,1,T,6.614509,Öckerö,K
N02797,1407,2013,1,K,5.638474,Öckerö,K
N02797,1407,2013,1,M,6.088083,Öckerö,K
N02797,1407,2013,1,T,5.890909,Öckerö,K
N02797,1407,2014,1,K,6.42978,Öckerö,K
N02797,1407,2014,1,M,6.842105,Öckerö,K
N02797,1407,2014,1,T,6.661732,Öckerö,K
N02797,1407,2015,1,K,4.310345,Öckerö,K
N02797,1407,2015,1,M,7.692308,Öckerö,K
N02797,1407,2015,1,T,6.207419,Öckerö,K
N02797,1407,2016,1,K,4.11449,Öckerö,K
N02797,1407,2016,1,M,5.96206,Öckerö,K
N02797,1407,2016,1,T,5.165767,Öckerö,K
N02797,1407,2017,1,K,4.701627,Öckerö,K
N02797,1407,2017,1,M,6.094183,Öckerö,K
N02797,1407,2017,1,T,5.490196,Öckerö,K
N02797,1407,2018,1,K,4.136691,Öckerö,K
N02797,1407,2018,1,M,4.417671,Öckerö,K
N02797,1407,2018,1,T,4.297774,Öckerö,K
N02797,1415,2007,1,K,4.941374,Stenungsund,K
N02797,1415,2007,1,M,4.347826,Stenungsund,K
N02797,1415,2008,1,K,5.267358,Stenungsund,K
